question,answer,type,columns_used,column_types,sample_answer,dataset
How many entries are in the Autumn season?,2301,number,['season'],['category'],8,017_Hacker
Which day of the week has the most entries?,Tuesday,category,['weekday_name'],['category'],Wednesday,017_Hacker
What is the predominant language used in titles?,en,category,['title_gx_lang'],['category'],en,017_Hacker
In which season was the entry with the highest score posted?,Spring,category,"['score', 'season']","['number[uint16]', 'category']",Summer,017_Hacker
On which part of the day are most entries posted?,afternoon,category,['partofday'],['category'],afternoon,017_Hacker
"List the top 4 most frequent terms in the ""Clusters II"" column.","['year, work, new', 'google, web, firefox, open', 'apple, linux, rust, iphone', 'facebook, twitter, die, account']",list[category],['Clusters II'],['category'],"['year, work, new', 'google, web, firefox, open', 'apple, linux, rust, iphone', 'amazon, database, sqlite, sql']",017_Hacker
Name the bottom 3 month names in terms of entry frequency.,"['August', 'December', 'July']",list[category],['month_name'],['category'],"['December', 'June', 'January']",017_Hacker
Identify the top 5 weekdays based on entry frequency.,"['Tuesday', 'Wednesday', 'Thursday', 'Monday', 'Friday']",list[category],['weekday_name'],['category'],"['Wednesday', 'Friday', 'Tuesday', 'Monday', 'Sunday']",017_Hacker
Provide the bottom 4 seasons in terms of entry count.,"['Spring', 'Winter', 'Autumn', 'Summer']",list[category],['season'],['category'],"['Autumn', 'Summer', 'Winter', 'Spring']",017_Hacker
List the top 3 scores in the dataset.,"[6015, 5771, 4338]",list[number],['score'],['number[uint16]'],"[2517, 1181, 1070]",017_Hacker
Name the bottom 5 title text lengths.,"[1.0, 2.0, 2.0, 2.0, 2.0]",list[number],['title_gx_text_length'],['number[UInt8]'],"[16.0, 20.0, 22.0, 30.0, 31.0]",017_Hacker
Identify the top 4 numbers of descendants.,"[4576.0, 3678.0, 3676.0, 3463.0]",list[number],['descendants'],['number[UInt16]'],"[3676.0, 1609.0, 524.0, 512.0]",017_Hacker
Provide the bottom 6 scores in the dataset.,"[501, 501, 501, 501, 501, 501]",list[number],['score'],['number[uint16]'],"[501, 516, 526, 534, 544, 583]",017_Hacker
Are there any employees with more than 7 projects?,False,boolean,['Number of Projects'],['number[uint8]'],False,018_Staff
Has any employee worked for more than 300 hours on average per month?,True,boolean,['Average Monthly Hours'],['number[uint16]'],False,018_Staff
Are all satisfaction levels above 0.5?,False,boolean,['Satisfaction Level'],['number[double]'],False,018_Staff
Were there any employees hired in 2019?,True,boolean,['Date Hired'],"['date[ns', 'UTC]']",False,018_Staff
How many unique departments are there?,10,number,['Department'],['category'],9,018_Staff
What's the maximum number of years an employee has been in the company?,10,number,['Years in the Company'],['number[uint8]'],6,018_Staff
How many employees have been promoted in the last 5 years?,319,number,['Promoted in the last 5 years?'],['category'],0,018_Staff
"On average, how many hours do employees work monthly?",201.05,number,['Average Monthly Hours'],['number[uint16]'],188.15,018_Staff
Which department has the highest number of employees?,sales,category,['Department'],['category'],support,018_Staff
What's the most common salary level among employees?,low,category,['salary'],['category'],low,018_Staff
Which year had the highest number of employees hired?,2017,category,['Date Hired'],"['date[ns', 'UTC]']",2017,018_Staff
Which salary level has the least number of employees who had an accident at work?,high,category,"['salary', 'Work Accident']","['category', 'category']",Not found,018_Staff
Name the top 4 departments with the most employees.,"['sales', 'technical', 'support', 'IT']",list[category],['Department'],['category'],"['support', 'technical', 'marketing', 'accounting']",018_Staff
List the bottom 3 departments by the number of promotions in the last 5 years.,"['hr', 'accounting', 'IT']",list[category],"['Department', 'Promoted in the last 5 years?']","['category', 'category']",['Not found'],018_Staff
Identify the top 5 departments with the highest average satisfaction levels.,"['management', 'RandD', 'product_mng', 'marketing', 'support']",list[category],"['Department', 'Satisfaction Level']","['category', 'number[double]']","['IT', 'RandD', 'accounting', 'technical', 'product_mng']",018_Staff
What are the bottom 2 departments by average monthly hours worked?,"['hr', 'marketing']",list[category],"['Department', 'Average Monthly Hours']","['category', 'number[uint16]']","['sales', 'RandD']",018_Staff
Identify the top 3 years with the highest employee hiring.,"['2017', '2018', '2016']",list[number],['Date Hired'],"['date[ns', 'UTC]']","[2017, 2016, 2018]",018_Staff
Which are the top 4 satisfaction levels among employees who left?,"[0.1, 0.11, 0.09, 0.37]",list[number],"['Satisfaction Level', 'Left']","['number[double]', 'category']",[],018_Staff
List the bottom 5 average monthly hours among employees who were promoted in the last 5 years.,"[215, 133, 159, 241, 247]",list[number],"['Average Monthly Hours', 'Promoted in the last 5 years?']","['number[uint16]', 'category']",[0],018_Staff
Which are the top 6 years based on the last evaluation scores?,"[0.55, 0.5, 0.54, 0.51, 0.57, 0.49]",list[number],['Last Evaluation'],['number[double]'],"[2015, 2014, 2016, 2018, 2017]",018_Staff
Did any incident result in the total destruction of the aircraft?,True,boolean,['Aircaft_Damage_Type'],['category'],False,019_Aircraft
Have there been any incidents where the cause was related to the undercarriage of the aircraft?,True,boolean,['Incident_Cause(es)'],['category'],False,019_Aircraft
Has there been any instance where the ground casualties were non-zero?,True,boolean,['Ground_Casualties'],['category'],True,019_Aircraft
Are there incidents where the aircraft was involved in a collision?,True,boolean,"['Incident_Category', 'Incident_Cause(es)']","['category', 'category']",True,019_Aircraft
How many unique aircraft models are in the dataset?,3523,number,['Aircaft_Model'],['category'],20,019_Aircraft
What's the highest number of occupants recorded in an incident?,524.0,number,['Onboard_Total'],['category'],86,019_Aircraft
How many incidents occurred in January 2022?,7,number,['Date'],"['date[ns', 'UTC]']",0,019_Aircraft
How many incidents resulted in non-zero fatalities?,0,number,['Fatalities'],['number[uint16]'],10,019_Aircraft
Which aircraft model was involved in the most incidents?,Junkers Ju-52/3m,category,['Aircaft_Model'],['category'],Antonov An-2V,019_Aircraft
What was the cause of the incident that resulted in the most fatalities?,"Airplane - Pressurization, Airplane - Pressurization - Bulkhead failure, Airplane - Pressurization - Explosive decompression, Maintenance - (repair of) previous damage, Result - Loss of control",category,"['Incident_Cause(es)', 'Fatalities']","['category', 'number[uint16]']","Result - Loss of control, Security - Sabotage (bomb)",019_Aircraft
What is the most common phase of aircraft during incidents?,En route (ENR),category,['Aircraft_Phase'],['category'],Landing (LDG),019_Aircraft
What is the location of the incident with the highest number of onboard occupants?,near Ueno Village...,category,"['Incident_Location', 'Onboard_Total']","['category', 'category']",,019_Aircraft
What are the top 3 most common causes of incidents?,"['Info-Unavailable', 'Result - Runway excursion', 'Result - Damaged on the ground']",list[category],['Incident_Cause(es)'],['category'],"['Info-Unavailable', 'Result - Damaged on the ground', 'Result - Loss of control']",019_Aircraft
List the top 5 locations where the most incidents have occurred.,"['unknown', 'Havana-José Martí International Airport (HAV)', 'Miami International Airport, FL (MIA)', 'Rio de Janeiro-Galeão International Airport, RJ (GIG)', 'Beirut International Airport (BEY)']",list[category],['Incident_Location'],['category'],"['near Loukhi', 'Arnhem', 'Glasgow-Preswick Airport', 'near Olpoi', 'Sioux Falls-Joe Foss Field Airport']",019_Aircraft
Name the 4 most frequently occurring aircraft operators in the dataset.,"['USAAF', 'USAF', 'RAF', 'US Navy']",list[category],['Aircaft_Operator'],['category'],"['USAAF', 'Aeroflot, Northern', 'United Airlines', 'British Aerospace']",019_Aircraft
What are the top 2 most common types of aircraft damage?,"['Damaged beyond repair', 'Substantial']",list[category],['Aircaft_Damage_Type'],['category'],"['Damaged beyond repair', 'Substantial']",019_Aircraft
What are the 5 highest numbers of onboard passengers in incidents?,"[509.0, 503.0, 497.0, 451.0, 440.0]",list[number],['Onboard_Passengers'],['category'],"[81, 39, 14, 11, 8]",019_Aircraft
List the 3 highest numbers of onboard crew in incidents.,"[32.0, 31.0, 29.0]",list[number],['Onboard_Crew'],['category'],"[5, 4, 3]",019_Aircraft
Identify the 4 highest numbers of total onboard occupants in incidents.,"[524.0, 521.0, 517.0, 469.0]",list[number],['Onboard_Total'],['category'],"[86, 44, 19, 15]",019_Aircraft
What are the 6 highest numbers of ground casualties in incidents?,"[1600, 900, 237, 107, 88, 87]",list[number],['Ground_Casualties'],['category'],"[9, 1]",019_Aircraft
"Are there any properties with a price over 1,000,000?",True,boolean,['Precio'],['number[uint32]'],True,020_Real
Any property with more than 10 bedrooms?,True,boolean,['Habitaciones'],['number[uint8]'],False,020_Real
Are there properties with zero bathrooms?,False,boolean,['Baños'],['number[uint8]'],False,020_Real
Has any property been listed for more than 100 days?,True,boolean,['Duración'],['number[uint16]'],True,020_Real
What's the highest price in the dataset?,17000000.0,number,['Precio'],['number[uint32]'],1245000.0,020_Real
What's the total number of properties listed?,26026,number,[],[],20,020_Real
What's the longest duration a property has been listed?,2535.0,number,['Duración'],['number[uint16]'],300.0,020_Real
What's the largest property (by surface area) listed?,5504.0,number,['Superficie'],['number[uint16]'],350.0,020_Real
What's the most common type of property listed?,Piso,category,['Tipo'],['category'],Piso,020_Real
Which advertiser has listed the most properties?,housell,category,['Anunciante'],['category'],gilmar_villalba,020_Real
Which property has the highest price?,GM31-121816,category,"['Referencia', 'Precio']","['category', 'number[uint32]']",14075097,020_Real
Which property has the largest surface area?,IF5563-FINCA VALLE LOZOYA,category,"['Referencia', 'Superficie']","['category', 'number[uint16]']",2126-002573,020_Real
What are the top 5 types of properties listed?,"['Piso', 'Chalet', 'Apartamento', 'Chalet adosado', 'Chalet unifamiliar']",list[category],['Tipo'],['category'],"['Piso', 'Chalet', 'Apartamento', 'Chalet adosado', 'Chalet pareado']",020_Real
Name the 3 advertisers who have listed the most properties.,"['housell', 'servihabitat_central', 'pradesa_proyectos_inmobiliarios']",list[category],['Anunciante'],['category'],"['gilmar_villalba', 'consulting_parque_de_los_estados', 'vivantial_okuant']",020_Real
What are the 4 most common localities for properties listed?,"['Madrid Capital', 'Torrejón de Ardoz', 'Alcalá de Henares', 'Móstoles']",list[category],['Localidad'],['category'],"['Madrid Capital', 'Alpedrete', 'Fuenlabrada', 'Valdemorillo']",020_Real
What are the 2 most common districts for properties listed?,"['Centro', 'Salamanca']",list[category],['Distrito'],['category'],"['San Blas', 'Centro']",020_Real
What are the 5 highest property prices listed?,"[17000000.0, 13600000.0, 13250000.0, 13000000.0, 12000000.0]",list[number],['Precio'],['number[uint32]'],"[1245000.0, 950000.0, 590000.0, 555000.0, 550000.0]",020_Real
List the 3 longest durations properties have been listed.,"[2535.0, 2534.0, 2285.0]",list[number],['Duración'],['number[uint16]'],"[300.0, 146.0, 129.0]",020_Real
Identify the 4 largest properties (by surface area) listed.,"[5504.0, 3957.0, 2974.0, 2927.0]",list[number],['Superficie'],['number[uint16]'],"[350.0, 311.0, 300.0, 250.0]",020_Real
What are the 6 highest numbers of bedrooms in properties listed?,"[20, 20, 20, 20, 20, 20]",list[number],['Habitaciones'],['number[uint8]'],"[9, 5, 5, 4, 4, 3]",020_Real
Are there more than 2000 customers with a monthly charge higher than $80?,True,boolean,['MonthlyCharges'],['number[double]'],False,021_Telco
Do all customers have phone service?,True,boolean,['PhoneService'],['category'],False,021_Telco
Are there any customers with no internet service?,True,boolean,['InternetService'],['category'],True,021_Telco
Are there any customers who are senior citizens and have dependents?,True,boolean,"['SeniorCitizen', 'Dependents']","['number[uint8]', 'category']",True,021_Telco
How many unique customers are there in the dataset?,7043,number,['customerID'],['category'],20,021_Telco
What's the highest monthly charge?,118.75,number,['MonthlyCharges'],['number[double]'],104.0,021_Telco
What's the total number of customers?,7043,number,[],[],20,021_Telco
What's the longest tenure?,72,number,['tenure'],['number[uint8]'],72,021_Telco
What's the most common payment method?,Electronic check,category,['PaymentMethod'],['category'],Electronic check,021_Telco
What's the most common contract type?,Month-to-month,category,['Contract'],['category'],Month-to-month,021_Telco
Which customer has the highest total charge?,2889-FPWRM,category,"['customerID', 'TotalCharges']","['category', 'number[double]']",4853-RULSV,021_Telco
Which customer has the highest monthly charge?,7569-NMZYQ,category,"['customerID', 'MonthlyCharges']","['category', 'number[double]']",4853-RULSV,021_Telco
What are the top 3 most common internet services?,"['Fiber optic', 'DSL', 'No']",list[category],['InternetService'],['category'],"['Fiber optic', 'DSL', 'No']",021_Telco
Name the 4 most common payment methods.,"['Electronic check', 'Mailed check', 'Bank transfer (automatic)', 'Credit card (automatic)']",list[category],['PaymentMethod'],['category'],"['Electronic check', 'Bank transfer (automatic)', 'Mailed check', 'Credit card (automatic)']",021_Telco
What are the 2 most common types of contract?,"['Month-to-month', 'Two year']",list[category],['Contract'],['category'],"['Month-to-month', 'Two year']",021_Telco
What are the 5 most common services for which customers have multiple lines?,"['No', 'Yes', 'No phone service']",list[category],['MultipleLines'],['category'],"['Yes', 'No phone service']",021_Telco
What are the 5 highest total charges?,"[8684.8, 8672.45, 8670.1, 8594.4, 8564.75]",list[number],['TotalCharges'],['number[double]'],"[7250.15, 6127.6, 5016.65, 3340.55, 3260.1]",021_Telco
What are the 4 highest monthly charges?,"[118.75, 118.65, 118.6, 118.6]",list[number],['MonthlyCharges'],['number[double]'],"[104.0, 95.15, 89.6, 89.4]",021_Telco
What are the 6 longest tenures?,"[72, 72, 72, 72, 72, 72]",list[number],['tenure'],['number[uint8]'],"[72, 70, 68, 67, 52, 41]",021_Telco
What are the 3 shortest tenures?,"[0, 0, 0]",list[number],['tenure'],['number[uint8]'],"[1, 1, 1]",021_Telco
Is there a listing with a review score rating of 100?,True,boolean,['review_scores_rating'],['number[UInt8]'],True,022_Airbnbs
Are there any hosts who have listed more than 10 properties?,True,boolean,['host_total_listings_count'],['number[UInt16]'],True,022_Airbnbs
Are all listings instantly bookable?,False,boolean,['instant_bookable'],['category'],True,022_Airbnbs
Is there a listing that requires a minimum of 365 nights?,True,boolean,['minimum_nights'],['number[uint16]'],False,022_Airbnbs
How many unique hosts are there in the dataset?,26765,number,['host_id'],['number[uint32]'],20,022_Airbnbs
What is the highest number of listings a single host has?,2739.0,number,['host_total_listings_count'],['number[UInt16]'],38.0,022_Airbnbs
How many unique locations are listed by the hosts?,1316,number,['host_location'],['category'],6,022_Airbnbs
What is the average review score rating across all listings?,93.767188,number,['review_scores_rating'],['number[UInt8]'],95.33333333333333,022_Airbnbs
What is the most common host location?,"New York, New York, United States",category,['host_location'],['category'],"New York, New York, United States",022_Airbnbs
What is the name of the listing with the most bedrooms?,"Walk to UN, Macy's & Empire State B",category,"['bedrooms', 'name']","['number[UInt8]', 'text']",Historic Gem Close to SI Ferry,022_Airbnbs
Which location has the highest number of listings?,"New York, New York, United States",category,['host_location'],['category'],"New York, New York, United States",022_Airbnbs
What is the most common property type?,Entire apartment,category,['property_type'],['category'],Entire apartment,022_Airbnbs
What are the top 5 unique host locations with the most listings?,"['New York, New York, United States', 'US', 'Brooklyn, New York, United States', 'Queens, New York, United States', 'Bronx, New York, United States']",list[category],['host_location'],['category'],"['New York, New York, United States', 'US', 'Brooklyn, New York, United States', 'FR', 'Sydney, New South Wales, Australia']",022_Airbnbs
Name the 3 listings with the lowest review score ratings.,"['Studio Apartment in East Williamsburg', 'Spacious Artist Loft Williamsburg', 'Cute 1 BR in the Lower East Side']",list[category],"['review_scores_rating', 'name']","['number[UInt8]', 'text']","['Historic Gem Close to SI Ferry', 'A+ Location Studio Apartment (Queen Bed & Futon)', 'Private Room in Heart of East Village!']",022_Airbnbs
List the 4 most common property types.,"['Entire apartment', 'Private room in apartment', 'Entire condominium', 'Entire house']",list[category],['property_type'],['category'],"['Entire apartment', 'Private room in apartment', 'Entire guest suite', 'Entire condominium']",022_Airbnbs
Who are the top 6 hosts with the most listings?,"['107434423', '305240193', '137358866', '51501835', '6168257', '22541573']",list[category],"['host_id', 'listing_id']","['number[uint32]', 'number[uint32]']","[62803, 1385157, 1898675, 3734323, 14295824, 14707270]",022_Airbnbs
What are the top 3 listing ids with the highest review score ratings?,"['4370230', '10166986', '14218173']",list[number],"['review_scores_rating', 'listing_id']","['number[UInt8]', 'number[uint32]']","[9334365, 8385447, 4016121]",022_Airbnbs
What are the 5 listing ids with the lowest number of minimum nights required?,"['4659046', '13192217', '17441150', '22058411', '28389772']",list[number],"['minimum_nights', 'listing_id']","['number[uint16]', 'number[uint32]']","[12584072, 44505052, 39727144, 45912795, 47406985]",022_Airbnbs
List the 4 listing ids of the properties with the highest number of bedrooms.,"['8536270', '2261367', '41552433', '23124338']",list[number],"['bedrooms', 'listing_id']","['number[UInt8]', 'number[uint32]']","[12584072, 27570074, 8385447, 31898478]",022_Airbnbs
What are the 6 listing ids with the lowest review score location?,"['18972792', '30422813', '30929071', '40777675', '45217842', '45217978']",list[number],"['review_scores_location', 'listing_id']","['number[UInt8]', 'number[uint32]']","[9334365, 31898478, 12584072, 33156370, 44505052, 25939748]",022_Airbnbs
Was there a day when the minimum temperature was below zero and it didn't rain?,True,boolean,"['tmin', 'prec']","['number[double]', 'number[double]']",True,023_Climate
Are there records where the solar radiation exceeds 10 but the maximum temperature was below 20?,True,boolean,"['sol', 'tmax']","['number[double]', 'number[double]']",True,023_Climate
Did any day with maximum wind speed above 15 also have average wind speed below 5?,True,boolean,"['racha', 'velmedia']","['number[double]', 'number[double]']",False,023_Climate
Were there days in the summer where the minimum temperature dropped below 10?,True,boolean,"['season', 'tmin']","['category', 'number[double]']",False,023_Climate
How many days had a maximum temperature above 30 degrees?,5500,number,['tmax'],['number[double]'],3,023_Climate
"On average, what's the minimum temperature during winters?",2.7196082770831027,number,"['season', 'tmin']","['category', 'number[double]']",,023_Climate
How many unique days had solar radiation measurements?,28615,number,['sol'],['number[double]'],15,023_Climate
What's the highest wind speed ever recorded?,32.2,number,['racha'],['number[double]'],14.4,023_Climate
On which weekday did the highest temperature ever occur?,Friday,category,"['tmax', 'weekday_name']","['number[double]', 'category']",Thursday,023_Climate
In which season do we find the highest average solar radiation?,Summer,category,"['season', 'sol']","['category', 'number[double]']",Summer,023_Climate
Which month had the lowest average wind speed?,October,category,"['month_name', 'velmedia']","['category', 'number[double]']",February,023_Climate
On what date was the highest pressure ever recorded?,2016-12-22T00:00:00Z,category,"['presMax', 'fecha']","['number[double]', 'date[ns', 'UTC]']",1950-02-14T00:00:00Z,023_Climate
What are the top 3 months with the highest average maximum temperatures?,"['July', 'August', 'June']",list[category],"['month_name', 'tmax']","['category', 'number[double]']","['July', 'August', 'September']",023_Climate
"Which are the 5 weekdays with the most rain, ranked from highest to lowest?","['Friday', 'Sunday', 'Saturday', 'Thursday', 'Wednesday']",list[category],"['weekday_name', 'prec']","['category', 'number[double]']","['Saturday', 'Sunday', 'Wednesday', 'Thursday', 'Tuesday']",023_Climate
"List the 4 seasons ranked by average solar radiation, from highest to lowest.","['Summer', 'Spring', 'Autumn', 'Winter']",list[category],"['season', 'sol']","['category', 'number[double]']","['Summer', 'Autumn', 'Spring', 'Winter']",023_Climate
Which 2 months recorded the lowest average minimum temperatures?,"['January', 'December']",list[category],"['month_name', 'tmin']","['category', 'number[double]']","['February', 'December']",023_Climate
List the top 5 recorded maximum temperatures.,"[40.7, 40.6, 40.0, 40.0, 40.0]",list[number],['tmax'],['number[double]'],"[37.5, 36.0, 33.3, 28.6, 26.6]",023_Climate
What are the 4 lowest wind speeds ever recorded?,"[0.0, 0.0, 0.0, 0.0]",list[number],['velmedia'],['number[double]'],"[0.3, 0.3, 0.3, 0.8]",023_Climate
Rank the highest 3 solar radiation measurements.,"[14.9, 14.8, 14.7]",list[number],['sol'],['number[double]'],"[13.0, 12.7, 12.3]",023_Climate
Which 6 days of the year (numbered from 1 to 365/366) had the highest average temperatures?,"[209, 210, 208, 207, 211, 205]",list[number],"['dayofyear', 'tmed']","['number[uint16]', 'number[double]']","[208, 206, 205, 235, 260, 103]",023_Climate
"Are there records where the RETRINOIN_xRZI exceeds 10,000?",True,boolean,['RETRINOIN_xRZI'],['number[double]'],True,024_Salary
Are there any female respondents who belong to the ESTE NUTS1 region?,True,boolean,"['SEXO', 'NUTS1']","['category', 'category']",True,024_Salary
Do we have respondents who fall under both PRIVADO control and NACIONAL market?,True,boolean,"['CONTROL', 'MERCADO']","['category', 'category']",True,024_Salary
"Are there records with RETRINOIN_WwQk less than 5,000?",True,boolean,['RETRINOIN_WwQk'],['number[double]'],False,024_Salary
How many unique respondents belong to the ESTE NUTS1 region?,58852,number,['NUTS1'],['category'],2,024_Salary
"On average, what's the RETRINOIN value for male respondents?",29370.243704368546,number,"['SEXO', 'RETRINOIN']","['category', 'number[double]']",26024.9957143,024_Salary
What's the highest value for RETRINOIN_ac1q in the dataset?,199496.34,number,['RETRINOIN_ac1q'],['number[double]'],59117.54,024_Salary
How many unique clusters are present in the 'umap_cluster' column?,73,number,['umap_cluster'],['category'],15,024_Salary
Which 'ANOS2' category has the most number of respondents?,DE 40 A 49,category,['ANOS2'],['category'],DE 40 A 49,024_Salary
In which 'NUTS1' region do we find the highest average RETRINOIN?,COMUNIDAD DE MADRID,category,"['NUTS1', 'RETRINOIN']","['category', 'number[double]']",CENTRO,024_Salary
Which 'MERCADO' category is the least common in the dataset?,UNIÓN EUROPEA,category,['MERCADO'],['category'],UNIÓN EUROPEA,024_Salary
Which 'umap_cluster' is the most dominant in the dataset?,Cluster 1,category,['umap_cluster'],['category'],Cluster 7,024_Salary
What are the top 4 'CNACE' categories with the highest frequency?,"['Actividades administrativas y servicios auxliares: actividad', 'Actividades sanitarias y de servicios sociales: actividades', 'Comercio al por mayor y al por menor; reparación de vehículo', 'Actividades profesionales, científicas y técnicas: actividad']",list[category],['CNACE'],['category'],"[\'Industria manufacturera: industria de la alimentación, fabri\', \'Actividades administrativas y servicios auxliares: actividad\', \'Actividades profesionales, científicas y técnicas: actividad\', \'Actividades artísticas, recreativas y de entrenimiento: acti\']",024_Salary
Which are the 3 least common 'ANOS2' categories in the dataset?,"['MENOS 19 AÑOS', 'MÁS DE 59', 'DE 20 A 29']",list[category],['ANOS2'],['category'],"[\'DE 50 A 59\', \'DE 20 A 29\', \'DE 30 A 39\']",024_Salary
List the top 5 'NUTS1' regions by frequency.,"['ESTE', 'COMUNIDAD DE MADRID', 'NORESTE', 'SUR', 'CENTRO']",list[category],['NUTS1'],['category'],"[\'ESTE\', \'NOROESTE\', \'NORESTE\', \'CENTRO\', \'SUR\']",024_Salary
Which 2 'umap_cluster' categories are the least represented?,"['Cluster 71', 'Cluster 73']",list[category],['umap_cluster'],['category'],"[\'Cluster 20\', \'Cluster 10\']",024_Salary
List the top 5 recorded RETRINOIN values.,"[4225998.36, 4153877.05, 4021902.63, 3903390.45, 2192967.2]",list[number],['RETRINOIN'],['number[double]'],"[59117.54, 50502.32, 35417.81, 30993.25, 29699.05]",024_Salary
What are the 4 lowest x values in the dataset?,"[-23714.217, -23706.5, -23698.271, -23697.166]",list[number],['x'],['number[double]'],"[-19757.53, -16221.655, -10021.664, -5854.7065]",024_Salary
Rank the highest 3 y values in the dataset.,"[28352.02, 28313.926, 28283.78]",list[number],['y'],['number[double]'],"[22543.754, 21725.412, 15036.662]",024_Salary
Which 6 RETRINOIN_ac1q values are the most frequent in the dataset?,"[0.0, 10302.6, 18000.0, 30000.0, 12000.0, 21000.0]",list[number],['RETRINOIN_ac1q'],['number[double]'],"[29699.05, 13871.31, 50502.32, 27320.4, 26262.3, 20237.57]",024_Salary
Is the most visited URL related to 'no code data science'?,True,boolean,"['URLs', 'Keyword', 'Ranking']","['url', 'category', 'number[uint8]']",True,025_Data
Does any URL have a competition level of 'Low'?,True,boolean,"['URLs', 'Competition']","['url', 'category']",True,025_Data
Are there any URLs with an average monthly searches above 1000?,False,boolean,"['URLs', 'Avg. monthly searches']","['url', 'number[uint8]']",False,025_Data
Is the URL with the highest ranking also the one with the highest monthly searches?,True,boolean,"['URLs', 'Ranking', 'Avg. monthly searches']","['url', 'number[uint8]', 'number[uint8]']",True,025_Data
How many unique URLs are in the dataset?,28,number,['URLs'],['url'],13,025_Data
What is the highest ranking value in the dataset?,11,number,['Ranking'],['number[uint8]'],11,025_Data
What is the minimum average monthly searches in the dataset?,50,number,['Avg. monthly searches'],['number[uint8]'],50,025_Data
How many unique keywords are present in the dataset?,6,number,['Keyword'],['category'],6,025_Data
What is the competition level of the highest-ranked URL?,Medium,category,"['Ranking', 'Competition']","['number[uint8]', 'category']",Low,025_Data
What keyword has the highest average monthly searches?,no code data science,category,"['Avg. monthly searches', 'Keyword']","['number[uint8]', 'category']",no code analytics platform,025_Data
What is the competition level for the URL with the lowest ranking?,Low,category,"['Ranking', 'Competition']","['number[uint8]', 'category']",Medium,025_Data
What keyword is associated with the URL with the highest ranking?,no code data science,category,"['Ranking', 'Keyword']","['number[uint8]', 'category']",no code analytics,025_Data
What are the top 3 URLs with the highest average monthly searches?,"['https://www.obviously.ai/', 'https://venturebeat.com/2021/10/12/no-code-ai-startup-obviously-ai-raises-4-7m/', 'https://hbr.org/2021/11/how-no-code-platforms-could-disrupt-the-it-industry']",list[category],"['URLs', 'Avg. monthly searches']","['url', 'number[uint8]']","[https://towardsdatascience.com/top-8-no-code-machine-learning-platforms-you-should-use-in-2020-1d1801300dd0, https://hbr.org/2021/11/how-no-code-platforms-can-bring-ai-to-small-and-midsize-businesses, https://www.obviously.ai/]",025_Data
List the bottom 2 competition levels of URLs with ranking less than 5.,"['Medium', 'Unknown']",list[category],"['Ranking', 'Competition']","['number[uint8]', 'category']","[High, High]",025_Data
Which are the top 4 keywords associated with the URLs of highest rankings?,"['no code data science', 'no code data analytics', 'no code data science', 'no code data science']",list[category],"['Ranking', 'Keyword']","['number[uint8]', 'category']","[no code analytics, no code data science, no code analytics platform, no code data science]",025_Data
Enumerate the bottom 3 URLs with the lowest rankings.,"['https://www.obviously.ai/', 'https://www.obviously.ai/', 'https://venturebeat.com/2021/10/12/no-code-ai-startup-obviously-ai-raises-4-7m/']",list[category],"['Ranking', 'URLs']","['number[uint8]', 'url']","[https://www.obviously.ai/, https://hbr.org/2021/11/how-no-code-platforms-can-bring-ai-to-small-and-midsize-businesses, https://analyticsindiamag.com/top-12-no-code-machine-learning-platforms-in-2021/]",025_Data
What are the top 4 rankings associated with the keyword 'no code data science'?,"[10, 9, 8, 7]",list[number],"['Keyword', 'Ranking']","['category', 'number[uint8]']","[10, 9, 6, 4]",025_Data
List the bottom 3 average monthly searches for URLs with medium competition.,"[50, 50, 50]",list[number],"['Competition', 'Avg. monthly searches']","['category', 'number[uint8]']","[50, 50, 50]",025_Data
Provide the top 5 rankings of URLs with low competition (if any).,"[11, 10, 10, 9, 9]",list[number],"['Competition', 'Ranking']","['category', 'number[uint8]']","[11, 8, 6, 6, 5]",025_Data
Specify the bottom 2 average monthly searches for URLs with the highest rankings.,"[50, 50]",list[number],"['Ranking', 'Avg. monthly searches']","['number[uint8]', 'number[uint8]']","[50, 50]",025_Data
Is there any wine with a quality rating of 10?,False,boolean,['quality'],['number[uint8]'],False,026_Predicting
Are there any wines with residual sugar above 15g/dm^3?,True,boolean,['residual sugar'],['number[double]'],False,026_Predicting
Is the highest alcohol content wine also the one with the highest quality rating?,False,boolean,"['alcohol', 'quality']","['number[double]', 'number[uint8]']",False,026_Predicting
Does any wine have a pH level below 2.5?,False,boolean,['pH'],['number[double]'],False,026_Predicting
How many unique quality ratings are there in the dataset?,6,number,['quality'],['number[uint8]'],5,026_Predicting
What is the maximum fixed acidity level found in the dataset?,15.9,number,['fixed acidity'],['number[double]'],10.7,026_Predicting
What is the minimum volatile acidity level in the dataset?,0.12,number,['volatile acidity'],['number[double]'],0.28,026_Predicting
How many wines have free sulfur dioxide above 50 mg/dm^3?,16,number,['free sulfur dioxide'],['number[UInt8]'],0,026_Predicting
What is the quality rating of the wine with the highest alcohol content?,5,category,"['alcohol', 'quality']","['number[double]', 'number[uint8]']",7.0,026_Predicting
What is the quality rating of the wine with the highest fixed acidity?,5,category,"['fixed acidity', 'quality']","['number[double]', 'number[uint8]']",6.0,026_Predicting
What is the quality rating of the wine with the lowest volatile acidity?,7,category,"['volatile acidity', 'quality']","['number[double]', 'number[uint8]']",7.0,026_Predicting
